Timestamp (s),Prediction,Fake_Probability,Confidence
1.01,FAKE,65.55%,65.55%
1.07,FAKE,64.43%,64.43%
1.14,FAKE,65.65%,65.65%
1.2,FAKE,66.27%,66.27%
1.28,FAKE,62.71%,62.71%
1.34,FAKE,61.25%,61.25%
1.41,FAKE,60.38%,60.38%
1.47,FAKE,59.01%,59.01%
1.54,FAKE,54.57%,54.57%
1.6,FAKE,53.10%,53.10%
1.68,FAKE,52.67%,52.67%
1.74,REAL,48.46%,51.54%
1.81,FAKE,55.57%,55.57%
1.87,FAKE,57.90%,57.90%
1.94,FAKE,53.99%,53.99%
2.02,REAL,49.85%,50.15%
2.08,REAL,47.78%,52.22%
2.14,REAL,42.13%,57.87%
2.21,REAL,39.44%,60.56%
2.27,REAL,40.47%,59.53%
2.34,REAL,41.94%,58.06%
2.42,REAL,46.40%,53.60%
2.48,FAKE,51.92%,51.92%
2.54,REAL,48.82%,51.18%
2.61,REAL,45.65%,54.35%
2.67,REAL,43.73%,56.27%
2.75,REAL,48.55%,51.45%
2.82,REAL,47.17%,52.83%
2.88,REAL,47.48%,52.52%
2.94,FAKE,55.90%,55.90%
3.01,FAKE,61.23%,61.23%
3.07,FAKE,61.56%,61.56%
3.15,FAKE,62.68%,62.68%
3.22,FAKE,65.33%,65.33%
3.28,FAKE,63.87%,63.87%
3.34,FAKE,67.25%,67.25%
3.41,FAKE,73.13%,73.13%
3.47,FAKE,76.81%,76.81%
3.55,FAKE,77.82%,77.82%
3.62,FAKE,79.91%,79.91%
3.68,FAKE,79.23%,79.23%
3.74,FAKE,77.72%,77.72%
3.81,FAKE,74.21%,74.21%
3.89,FAKE,76.03%,76.03%
3.95,FAKE,75.85%,75.85%
4.02,FAKE,73.63%,73.63%
4.08,FAKE,75.55%,75.55%
4.14,FAKE,71.42%,71.42%
4.21,FAKE,69.46%,69.46%
4.29,FAKE,66.59%,66.59%
4.35,FAKE,70.52%,70.52%
4.42,FAKE,72.73%,72.73%
4.48,FAKE,77.24%,77.24%
4.54,FAKE,77.45%,77.45%
4.61,FAKE,77.02%,77.02%
4.69,FAKE,77.71%,77.71%
4.75,FAKE,73.17%,73.17%
4.82,FAKE,70.72%,70.72%
4.88,FAKE,74.25%,74.25%
4.94,FAKE,77.23%,77.23%
5.02,FAKE,77.88%,77.88%
5.09,FAKE,78.23%,78.23%
5.15,FAKE,78.88%,78.88%
5.22,FAKE,79.58%,79.58%
5.28,FAKE,81.67%,81.67%
5.34,FAKE,82.35%,82.35%
5.42,FAKE,82.65%,82.65%
5.49,FAKE,83.36%,83.36%
5.55,FAKE,77.32%,77.32%
5.62,FAKE,75.51%,75.51%
5.68,FAKE,67.98%,67.98%
5.74,FAKE,61.47%,61.47%
5.82,FAKE,58.60%,58.60%
5.89,REAL,46.55%,53.45%
5.95,REAL,34.05%,65.95%
6.02,REAL,40.51%,59.49%
6.08,REAL,45.86%,54.14%
6.16,REAL,43.43%,56.57%
6.22,REAL,39.97%,60.03%
6.29,REAL,36.11%,63.89%
6.35,REAL,34.25%,65.75%
6.42,REAL,34.89%,65.11%
6.48,REAL,36.33%,63.67%
6.56,REAL,38.07%,61.93%
6.62,REAL,44.84%,55.16%
6.69,REAL,47.09%,52.91%
6.75,FAKE,50.20%,50.20%
6.82,FAKE,56.68%,56.68%
6.9,FAKE,60.60%,60.60%
6.96,FAKE,69.67%,69.67%
7.02,FAKE,69.45%,69.45%
7.09,FAKE,64.15%,64.15%
7.15,FAKE,62.81%,62.81%
7.22,FAKE,62.20%,62.20%
7.3,FAKE,62.08%,62.08%
7.36,FAKE,52.82%,52.82%
7.42,FAKE,53.31%,53.31%
7.49,REAL,48.80%,51.20%
7.55,FAKE,54.53%,54.53%
7.62,FAKE,55.96%,55.96%
7.7,REAL,47.34%,52.66%
7.76,REAL,49.19%,50.81%
7.82,REAL,45.97%,54.03%
7.89,REAL,43.78%,56.22%
7.95,REAL,44.33%,55.67%
8.03,REAL,40.04%,59.96%
8.1,REAL,32.91%,67.09%
8.16,REAL,31.09%,68.91%
8.22,REAL,33.94%,66.06%
8.29,REAL,30.27%,69.73%
8.35,REAL,32.05%,67.95%
8.43,REAL,28.93%,71.07%
8.5,REAL,30.56%,69.44%
8.56,REAL,33.80%,66.20%
8.62,REAL,33.11%,66.89%
8.69,REAL,32.71%,67.29%
8.75,REAL,34.96%,65.04%
8.83,REAL,40.15%,59.85%
8.9,REAL,38.42%,61.58%
